Title,Rating,Votes,Duration,Genre
Mufasa: The Lion King,6.6,61000,118,Adventure
Flow,7.9,72000,85,Adventure
Moana 2,6.6,100000,100,Adventure
Kraven the Hunter,5.5,53000,127,Adventure
Sonic the Hedgehog 3,6.9,58000,110,Adventure
Gladiator II,6.5,227000,148,Adventure
Twisters,6.5,166000,122,Adventure
Freaky Tales,7.2,1100,107,Adventure
Deadpool & Wolverine,7.6,489000,128,Adventure
Dune: Part Two,8.5,622000,166,Adventure
Paddington in Peru,6.7,20000,106,Adventure
Venom: The Last Dance,6.0,116000,110,Adventure
Furiosa: A Mad Max Saga,7.5,284000,148,Adventure
Despicable Me 4,6.2,65000,94,Adventure
Borderlands,4.7,48000,101,Adventure
The Count of Monte-Cristo,7.6,34000,178,Adventure
Transformers One,7.6,50000,104,Adventure
The Return,6.2,8200,116,Adventure
The Day the Earth Blew Up: A Looney Tunes Movie,7.0,3800,91,Adventure
Inside Out 2,7.5,215000,96,Adventure
Solo Leveling: ReAwakening,8.7,12000,121,Adventure
The Lord of the Rings: The War of the Rohirrim,6.3,30000,134,Adventure
Love Lies Bleeding,6.6,57000,104,Adventure
Madame Web,4.0,100000,116,Adventure
Bad Boys: Ride or Die,6.5,100000,115,Adventure
Red One,6.3,139000,123,Adventure
Ghostbusters: Frozen Empire,6.1,93000,115,Adventure
Godzilla x Kong: The New Empire,6.0,121000,115,Adventure
Damsel,6.1,109000,110,Adventure
Spaceman,5.7,43000,107,Adventure
Kingdom of the Planet of the Apes,6.9,151000,145,Adventure
Survive,4.6,2400,90,Adventure
Kung Fu Panda 4,6.3,68000,94,Adventure
Uglies,4.7,33000,100,Adventure
Night of the Zoopocalypse,6.0,577000,91,Adventure
The Garfield Movie,5.7,24000,101,Adventure
Attack on Titan the Movie: The Last Attack,9.2,15000,145,Adventure
Harold and the Purple Crayon,5.7,8300,90,Adventure
Spellbound,5.5,7300,109,Adventure
My Penguin Friend,6.7,5000,97,Adventure
Wallace & Gromit: Vengeance Most Fowl,7.5,34000,82,Adventure
Atlas,5.6,56000,118,Adventure
Descendants: The Rise of Red,4.7,7000,91,Adventure
Arthur the King,7.0,34000,107,Adventure
Kalki 2898 AD,7.0,66000,180,Adventure
Thelma the Unicorn,5.7,2900,93,Adventure
Rebel Moon - Part Two: The Scargiver,5.3,59000,122,Adventure
Monster Summer,5.7,3600,97,Adventure
Hitpig,5.1,920000,86,Adventure
The Best Christmas Pageant Ever,6.8,6100,99,Adventure
River of Blood,5.2,1800,86,Adventure
The Unholy Trinity,7.8,50000,93,Adventure
Megamind vs. The Doom Syndicate,2.5,5500,83,Adventure
Family Pack,5.5,9000,94,Adventure
Orion and the Dark,6.3,17000,93,Adventure
No Way Up,4.6,10000,90,Adventure
The Goat Life,7.1,47000,173,Adventure
Winner,6.5,2400,103,Adventure
Justice League: Crisis on Infinite Earths - Part One,6.2,8500,93,Adventure
Sasquatch Sunset,5.4,5400,88,Adventure
Lost on a Mountain in Maine,6.1,1200,98,Adventure
The Empire,5.2,1200,110,Adventure
My Hero Academia: You're Next,7.0,2000,110,Adventure
Hanu Man,7.7,29000,158,Adventure
Justice League: Crisis on Infinite Earths - Part Three,6.1,4500,94,Adventure
The Wages of Fear,4.6,4100,104,Adventure
"I, the Executioner",6.3,1700,118,Adventure
Saint-Exupéry,5.5,294000,98,Adventure
Bookworm,6.0,1800,103,Adventure
Something in the Water,4.1,4600,86,Adventure
A Legend,4.7,899000,129,Adventure
The Courier,6.0,4400,101,Adventure
Eat the Night,6.1,473000,106,Adventure
Badland Hunters,5.9,12000,107,Adventure
Ultraman: Rising,6.9,6300,117,Adventure
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8500,104,Adventure
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,3900,82,Adventure
Buffalo Kids,6.6,676000,93,Adventure
Woody Woodpecker Goes to Camp,4.5,2600,100,Adventure
Anaconda,4.9,632000,84,Adventure
The Price of Money: A Largo Winch Adventure,5.0,1100,100,Adventure
That Christmas,6.8,17000,91,Adventure
Cult Killer,4.8,2800,105,Adventure
Manjummel Boys,8.2,27000,135,Adventure
Chuck Billy and the Marvelous Guava Tree,7.5,979000,90,Adventure
Devil's Knight,5.2,866000,90,Adventure
Raqa,5.7,191000,107,Adventure
Doraemon the Movie: Nobita's Earth Symphony,6.6,1500,115,Adventure
Angels Fallen: Warriors of Peace,4.9,5800,103,Adventure
Overlord: The Sacred Kingdom,6.9,936000,135,Adventure
Autumn and the Black Jaguar,5.6,996000,100,Adventure
The Tiger's Apprentice,5.7,2200,84,Adventure
Unspeakable: Beyond the Wall of Sleep,6.2,51000,90,Adventure
Justice League: Crisis on Infinite Earths - Part Two,5.5,5300,94,Adventure
Dongeng Sang Kancil,6.7,166000,99,Adventure
Bambi: A Tale of Life in the Woods,5.7,166000,78,Adventure
A Sloth Story,5.6,204000,90,Adventure
The Twisters,2.5,332000,86,Adventure
Sixty Minutes,5.7,5200,88,Adventure
Dragonkeeper,5.7,1700,98,Adventure
Golden Kamuy,6.3,2600,127,Adventure
Operation Blood Hunt,3.4,484000,93,Adventure
Crayon Shin-chan: Ora's Dinosaur Diary,6.4,347000,106,Adventure
Escape,6.4,2000,94,Adventure
No Chains No Masters,6.5,510000,98,Adventure
WWII: Operation Phoenix,6.3,75000,106,Adventure
The Last Redemption,6.5,3400,122,Adventure
The Last of Us: Immunity,5.9,16000,64,Adventure
Man and Witch: The Dance of a Thousand Steps,5.5,328000,94,Adventure
The Firing Squad,5.1,5000,93,Adventure
Rebellious,6.0,192000,94,Adventure
A.R.M,7.1,8700,150,Adventure
Planetquake,3.0,305000,85,Adventure
My Freaky Family,6.3,403000,86,Adventure
Lumina,2.1,667000,113,Adventure
Bionic,4.3,1700,110,Adventure
Kanguva,4.5,15000,152,Adventure
Bade Miyan Chote Miyan,3.8,39000,163,Adventure
Oscar Wilde About America,3.6,25000,98,Adventure
Meanwhile on Earth,6.0,906000,89,Adventure
200% Wolf,5.9,1300,98,Adventure
The Last Ronin,4.8,571000,115,Adventure
Thangalaan,6.6,6600,156,Adventure
Storm Crashers,6.2,560000,88,Adventure
Robin and the Hoods,4.3,511000,100,Adventure
Roadkill,3.7,679000,90,Adventure
This Too Shall Pass,8.8,7000,105,Adventure
The Lost Tiger,7.8,44000,90,Adventure
Gracie and Pedro: Pets to the Rescue,5.1,269000,87,Adventure
Pimpinero: Blood and Oil,5.6,548000,121,Adventure
Noah's Ark,4.3,653000,96,Adventure
Big City Greens the Movie: Spacecation,6.2,539000,83,Adventure
Panda Bear in Africa,5.5,336000,84,Adventure
Spiders on a Plane,5.1,371000,78,Adventure
Return to Wickensburg,5.0,29000,88,Adventure
One Million Babes BC,2.1,80000,75,Adventure
War of the Worlds: Extinction,3.1,204000,84,Adventure
The Magician's Raincoat,5.5,102000,,Adventure
The Keepers of the 5 Kingdoms,4.0,219000,109,Adventure
Never Look Away,7.2,262000,85,Adventure
STEVE (A Minecraft Movie),6.7,11000,61,Adventure
All for One,1.4,654000,97,Adventure
Cells at Work!,6.8,216000,109,Adventure
My Oni Girl,6.0,1700,112,Adventure
Ayalaan,6.0,4000,155,Adventure
Going Viral,6.8,52000,90,Adventure
School of Magical Animals 3,5.8,310000,105,Adventure
Treasure Trackers,5.8,159000,92,Adventure
Diplodocus,6.3,175000,90,Adventure
I Heart Robots,4.6,2400,76,Adventure
Gladiators,6.3,39000,95,Adventure
Now or Never!,2.2,17000,,Adventure
Rally Caps,5.5,138000,100,Adventure
Escape from the 21st Century,6.5,872000,98,Adventure
The Mountain,6.6,155000,89,Adventure
Elli and the Ghostly Ghost Train,5.0,96000,86,Adventure
Shrek 5: The Contract - A Fan Made Film,7.0,19000,84,Adventure
Dalia y el Libro Rojo,6.5,87000,107,Adventure
Five Friends,6.7,898000,112,Adventure
No Time to Spy: A Loud House Movie,6.4,447000,81,Adventure
Guest from the Future,6.0,1200,141,Adventure
The Goat,5.6,128000,91,Adventure
Earthquake Underground,3.3,193000,83,Adventure
Z-Mom,4.9,45000,90,Adventure
The Big Trip 3: Race Around the World,5.7,55000,85,Adventure
Bureau 749,4.1,523000,123,Adventure
Mountain Boy,8.2,17000,93,Adventure
The Adventures of Jurassic Pet: Return to the Wild,5.3,61000,90,Adventure
Formed Police Unit,4.6,475000,120,Adventure
Odio el verano,5.1,571000,103,Adventure
Warrior Awang and Master Tok Gajah,4.6,475000,118,Adventure
Jathara,7.8,1100,129,Adventure
Mr Zoo Keeper,8.1,15000,,Adventure
Kalvan,5.6,986000,142,Adventure
Barroz: Guardian of Treasures,3.5,998000,155,Adventure
Vertical,5.2,130000,111,Adventure
The Traveller,5.2,207000,134,Adventure
Satu - Year of the Rabbit,9.1,56000,93,Adventure
Dünya Varmis,7.4,51000,100,Adventure
The Backrooms,6.2,8000,63,Adventure
Tanning Zone,,,,Adventure
Sunlight,7.9,17000,96,Adventure
Trifole,7.7,50000,100,Adventure
Zak & Wowo: The Legend of Lendarys,5.7,96000,85,Adventure
My Redneck Neighbor: Chapter 2 - Let the Games Begin,,,55,Adventure
A Trip Elsewhere,5.6,101000,93,Adventure
Next to Us,4.9,222000,125,Adventure
The Epidemic,5.7,72000,95,Adventure
Rocky Road to Berlin,7.2,1400,104,Adventure
Mobile Suit Gundam SEED Freedom,6.6,946000,124,Adventure
Gaami,6.4,2000,147,Adventure
